image_index,image_name,sigma,psnr_sure,ssim_sure,time_sure,psnr_energy,ssim_energy,time_energy
1,0000.png,10,41.8860,0.978938,79.50,41.8034,0.978663,78.45
1,0000.png,30,35.9702,0.950986,85.25,35.7668,0.950235,84.01
1,0000.png,50,33.3066,0.923670,91.21,32.9410,0.922017,90.06
2,0001.png,10,32.4953,0.897715,78.69,32.7627,0.901575,77.50
2,0001.png,30,26.5343,0.688913,84.97,26.5086,0.687492,83.50
2,0001.png,50,24.0104,0.559761,91.05,23.8124,0.549946,89.50
3,0002.png,10,36.1297,0.923164,79.30,36.2601,0.927630,77.88
3,0002.png,30,31.3279,0.823341,85.40,30.8978,0.797659,83.77
3,0002.png,50,29.5300,0.776387,91.20,27.9059,0.598524,89.78
4,0003.png,10,32.1815,0.894774,78.95,32.7195,0.904044,77.60
4,0003.png,30,26.8845,0.725584,85.13,26.9217,0.726955,83.66
4,0003.png,50,24.8829,0.633910,91.05,24.6685,0.623597,89.63
5,0004.png,10,31.8489,0.907554,78.90,32.3954,0.913970,77.60
5,0004.png,30,26.4336,0.709852,85.45,26.5148,0.716406,83.69
5,0004.png,50,24.4687,0.629046,91.03,24.4079,0.625256,89.47
6,0005.png,10,32.4704,0.860740,79.07,32.9610,0.874910,77.73
6,0005.png,30,27.6578,0.733558,85.12,27.6278,0.733730,83.76
6,0005.png,50,25.3693,0.671730,91.01,25.2024,0.663512,89.50
7,0006.png,10,34.4469,0.963420,78.78,34.7455,0.963886,77.39
7,0006.png,30,28.1901,0.882758,88.46,27.9027,0.865544,88.41
7,0006.png,50,25.1152,0.797280,90.19,24.8374,0.776395,89.52
8,0007.png,10,28.8206,0.939037,77.95,29.9038,0.947832,76.96
8,0007.png,30,23.3073,0.774773,84.31,23.4563,0.789524,83.47
8,0007.png,50,20.4988,0.605552,90.24,20.8857,0.640870,89.22
9,0008.png,10,29.5609,0.879748,78.15,30.3768,0.892576,77.26
9,0008.png,30,24.1935,0.621823,84.65,24.5102,0.643223,83.42
9,0008.png,50,21.7614,0.460216,90.71,22.1869,0.491648,89.36
10,0009.png,10,34.1167,0.940845,78.77,34.4779,0.942160,77.67
10,0009.png,30,28.1501,0.802797,85.20,28.3308,0.812745,84.04
10,0009.png,50,26.1843,0.737491,90.98,25.9704,0.732808,89.82
11,0010.png,10,33.7437,0.918689,78.88,34.2212,0.922466,77.62
11,0010.png,30,28.4023,0.824314,85.14,28.4065,0.822581,84.00
11,0010.png,50,25.7203,0.753285,91.15,25.6507,0.749142,89.67
12,0011.png,10,35.1389,0.936386,78.91,35.1253,0.934456,77.70
12,0011.png,30,28.6704,0.782466,85.32,28.5746,0.779762,84.06
12,0011.png,50,26.4952,0.701721,91.12,26.2999,0.696303,90.01
13,0012.png,10,31.6170,0.926684,79.10,32.3711,0.931779,77.84
13,0012.png,30,25.7843,0.714524,85.06,26.2240,0.745348,84.37
13,0012.png,50,23.6414,0.602005,90.60,23.8637,0.617202,89.67
14,0013.png,10,36.7941,0.949059,78.60,36.8165,0.950466,77.63
14,0013.png,30,31.1334,0.852162,84.79,30.9612,0.849494,83.78
14,0013.png,50,29.2078,0.811011,91.95,28.9857,0.808948,89.44
15,0014.png,10,32.8685,0.919242,79.17,33.0927,0.920736,81.61
15,0014.png,30,26.8729,0.742387,85.27,26.7690,0.737523,83.57
15,0014.png,50,24.1611,0.625645,90.48,24.0077,0.616139,90.34
16,0015.png,10,30.3376,0.895334,78.60,31.1290,0.904157,77.33
16,0015.png,30,24.3541,0.625181,85.06,24.7326,0.656718,83.63
16,0015.png,50,21.7892,0.479170,90.47,22.2479,0.508306,89.45
17,0016.png,10,33.0116,0.926128,78.60,33.5327,0.929883,77.41
